"","Algoritmo","input_size","Tiempo","Time_Complexity"
"2","SIMD",32768,0.0000252,0.000000000768
"4","SIMD",65536,0.0000469,0.000000000716
"6","SIMD",131072,0.000105542,0.000000000805
"8","SIMD",262144,0.000200273,0.000000000764
"10","SIMD",524288,0.000398262,0.00000000076
"12","SIMD",1048576,0.000802483,0.000000000765
"14","SIMD",2097152,0.00161703,0.000000000771
"16","SIMD",4194304,0.0032162,0.000000000767
"18","SIMD",8388608,0.00642634,0.000000000766
"20","SIMD",16777216,0.0128983,0.000000000769
"22","SIMD",33554432,0.0257835,0.000000000768
"24","SIMD",67108864,0.0531818,0.000000000792
"26","SIMD",134217728,0.103258,0.000000000769
